checking_balance,months_loan_duration,credit_history,purpose,amount,savings_balance,employment_duration,percent_of_income,years_at_residence,age,other_credit,housing,existing_loans_count,job,dependents,phone,default,age_group,loan_to_income,risk_flag
< 0 DM,6,critical,furniture/appliances,1169,Missing,> 7 years,4,4,67,none,own,2,skilled,1,yes,0,Senior,292.25,Normal
1 - 200 DM,48,good,furniture/appliances,5951,< 100 DM,1 - 4 years,2,2,22,none,own,1,skilled,1,no,1,Young,2975.5,Normal
Missing,12,critical,education,2096,< 100 DM,4 - 7 years,2,3,49,none,own,1,unskilled,2,no,0,Middle Age,1048.0,Normal
< 0 DM,42,good,furniture/appliances,7882,< 100 DM,4 - 7 years,2,4,45,none,other,1,skilled,2,no,0,Middle Age,3941.0,High Risk
< 0 DM,24,poor,car,4870,< 100 DM,1 - 4 years,3,4,53,none,other,2,skilled,2,no,1,Middle Age,1623.3333333333333,High Risk
Missing,36,good,education,9055,Missing,1 - 4 years,2,4,35,none,other,1,unskilled,2,yes,0,Adult,4527.5,Normal
Missing,24,good,furniture/appliances,2835,500 - 1000 DM,> 7 years,3,4,53,none,own,1,skilled,1,no,0,Middle Age,945.0,Normal
1 - 200 DM,36,good,car,6948,< 100 DM,1 - 4 years,2,2,35,none,rent,1,management,1,yes,0,Adult,3474.0,Normal
Missing,12,good,furniture/appliances,3059,> 1000 DM,4 - 7 years,2,4,61,none,own,1,unskilled,1,no,0,Senior,1529.5,Normal
1 - 200 DM,30,critical,car,5234,< 100 DM,unemployed,4,2,28,none,own,2,management,1,no,1,Adult,1308.5,Normal
1 - 200 DM,12,good,car,1295,< 100 DM,< 1 year,3,1,25,none,rent,1,skilled,1,no,1,Young,431.6666666666667,Normal
< 0 DM,48,good,business,4308,< 100 DM,< 1 year,3,4,24,none,rent,1,skilled,1,no,1,Young,1436.0,High Risk
1 - 200 DM,12,good,furniture/appliances,1567,< 100 DM,1 - 4 years,1,1,22,none,own,1,skilled,1,yes,0,Young,1567.0,Normal
< 0 DM,24,critical,car,1199,< 100 DM,> 7 years,4,4,60,none,own,2,unskilled,1,no,1,Middle Age,299.75,High Risk
< 0 DM,15,good,car,1403,< 100 DM,1 - 4 years,2,4,28,none,rent,1,skilled,1,no,0,Adult,701.5,High Risk
< 0 DM,24,good,furniture/appliances,1282,100 - 500 DM,1 - 4 years,4,2,32,none,own,1,unskilled,1,no,1,Adult,320.5,Normal
Missing,24,critical,furniture/appliances,2424,Missing,> 7 years,4,4,53,none,own,2,skilled,1,no,0,Middle Age,606.0,Normal
< 0 DM,30,perfect,business,8072,Missing,< 1 year,2,3,25,bank,own,3,skilled,1,no,0,Young,4036.0,Normal
1 - 200 DM,24,good,car,12579,< 100 DM,> 7 years,4,2,44,none,other,1,management,1,yes,1,Middle Age,3144.75,Normal
Missing,24,good,furniture/appliances,3430,500 - 1000 DM,> 7 years,3,2,31,none,own,1,skilled,2,yes,0,Adult,1143.3333333333333,Normal
Missing,9,critical,car,2134,< 100 DM,1 - 4 years,4,4,48,none,own,3,skilled,1,yes,0,Middle Age,533.5,Normal
< 0 DM,6,good,furniture/appliances,2647,500 - 1000 DM,1 - 4 years,2,3,44,none,rent,1,skilled,2,no,0,Middle Age,1323.5,Normal
< 0 DM,10,critical,car,2241,< 100 DM,< 1 year,1,3,48,none,rent,2,unskilled,2,no,0,Middle Age,2241.0,High Risk
1 - 200 DM,12,critical,car,1804,100 - 500 DM,< 1 year,3,4,44,none,own,1,skilled,1,no,0,Middle Age,601.3333333333334,Normal
Missing,10,critical,furniture/appliances,2069,Missing,1 - 4 years,2,1,26,none,own,2,skilled,1,no,0,Adult,1034.5,Normal
< 0 DM,6,good,furniture/appliances,1374,< 100 DM,1 - 4 years,1,2,36,bank,own,1,unskilled,1,yes,0,Adult,1374.0,High Risk
Missing,6,perfect,furniture/appliances,426,< 100 DM,> 7 years,4,4,39,none,own,1,unskilled,1,no,0,Adult,106.5,Normal
> 200 DM,12,very good,furniture/appliances,409,> 1000 DM,1 - 4 years,3,3,42,none,rent,2,skilled,1,no,0,Middle Age,136.33333333333334,Normal
1 - 200 DM,7,good,furniture/appliances,2415,< 100 DM,1 - 4 years,3,2,34,none,own,1,skilled,1,no,0,Adult,805.0,Normal
< 0 DM,60,poor,business,6836,< 100 DM,> 7 years,3,4,63,none,own,2,skilled,1,yes,1,Senior,2278.6666666666665,High Risk
1 - 200 DM,18,good,business,1913,> 1000 DM,< 1 year,3,3,36,bank,own,1,skilled,1,yes,0,Adult,637.6666666666666,Normal
< 0 DM,24,good,furniture/appliances,4020,< 100 DM,1 - 4 years,2,2,27,store,own,1,skilled,1,no,0,Adult,2010.0,High Risk
1 - 200 DM,18,good,car,5866,100 - 500 DM,1 - 4 years,2,2,30,none,own,2,skilled,1,yes,0,Adult,2933.0,Normal
Missing,12,critical,business,1264,Missing,> 7 years,4,4,57,none,rent,1,unskilled,1,no,0,Middle Age,316.0,Normal
